year,quarter,station,temperature_mean,temperature_std,depth_mean,depth_std,oceanic,coastal_oceanic_fished,coastal_fished,coastal_bycatch,coastal_unfished,longitude,latitude
1960,1,076.7 051.0,11.72086956521739,1.4286990682673462,40.34782608695652,34.7427019094425,22.0,16.5,0.0,19.25,0.0,-120.941666,35.033333
1960,1,076.7 055.0,12.626363636363635,0.9757514586670669,38.72727272727273,34.659131715255235,199.54999999999998,49.12,3.07,9.21,0.0,-121.21666599999999,34.908333
1960,1,076.7 060.0,12.571666666666667,1.219415550874387,45.638888888888886,32.80082993529957,13.6,0.0,5.44,0.0,0.0,-121.54166599999999,34.725
1960,1,076.7 070.0,12.238695652173917,1.324912705007136,45.08695652173913,33.26739195652302,17.95,129.24,0.0,0.0,0.0,-122.26666599999999,34.4
1960,1,080.0 055.0,12.165185185185184,1.1786934434441538,42.55555555555556,33.18402457779175,21.28,212.8,0.0,0.0,0.0,-120.8,34.316666
1960,1,080.0 060.0,12.255128205128205,1.3686525678754116,47.07692307692308,33.09824658687384,9.96,22.41,2.49,0.0,0.0,-121.225,34.075
1960,1,080.0 070.0,12.6784,1.2211117884944038,47.8,33.31291041022985,0.0,0.0,0.0,0.0,0.0,-121.85,33.808333000000005
1960,1,080.0 080.0,12.916923076923077,1.012733999550796,45.84615384615385,33.34629491585812,2.65,0.0,0.0,0.0,0.0,-122.53333300000001,33.475
1960,1,080.0 090.0,12.801142857142858,1.040135091420034,46.74285714285714,33.76418469424705,9.540000000000001,12.719999999999999,0.0,0.0,0.0,-123.26666599999999,33.083333
1960,1,083.3 051.0,12.129999999999997,1.521157454046096,45.63636363636363,36.56575645948741,15.3,452.88000000000005,0.0,27.54,0.0,-120.13333300000001,33.85
1960,1,083.3 055.0,13.032307692307693,1.3233301039810748,46.15384615384615,33.93829241885473,9.88,0.0,0.0,0.0,0.0,-120.4,33.725
1960,1,083.3 060.0,12.482307692307693,1.4322846334632875,44.64102564102564,33.253798500469856,13.2,2.64,0.0,0.0,0.0,-120.75833300000001,33.533333
1960,1,083.3 070.0,12.475384615384614,1.2598321011455962,46.23076923076923,36.27477049353964,0.0,0.0,3.14,0.0,0.0,-121.40833300000001,33.233333
1960,1,083.3 080.0,13.717857142857142,0.40413589815286705,45.357142857142854,34.85708656093454,0.0,3.14,0.0,0.0,0.0,-122.125,32.875
1960,1,083.3 090.0,14.31,0.505780867287688,45.333333333333336,32.32645975048923,41.6,3.2,0.0,0.0,0.0,-122.66666599999999,32.575
1960,1,086.7 035.0,12.98571428571429,1.7106486142158712,45.142857142857146,35.50050301454494,32.04,341.76,5.34,10.68,0.0,-118.625,33.841666
1960,1,086.7 040.0,12.489411764705881,1.65722831984607,49.294117647058826,32.20439402709522,83.16,1443.42,0.0,29.700000000000003,0.0,-118.975,33.675
1960,1,086.7 045.0,12.160833333333334,1.3982811418005858,47.416666666666664,36.37046337429049,19.92,211.65,0.0,0.0,0.0,-119.316666,33.491665999999995
1960,1,086.7 050.0,,,,,8.16,121.04,0.0,0.0,1.36,,
1960,1,086.7 055.0,13.168571428571427,1.4939099815474264,44.57142857142857,34.35944453234698,16.66,278.46,0.0,0.0,0.0,-120.00833300000001,33.166666
1960,1,086.7 060.0,13.153684210526315,1.1494426876431845,45.526315789473685,33.52912154329649,15.24,208.27999999999997,0.0,0.0,0.0,-120.358333,33.0
1960,1,086.7 070.0,13.682307692307697,1.5726366069235125,45.23076923076923,35.095474176769685,33.66,302.94000000000005,3.06,0.0,0.0,-121.01666599999999,32.65
1960,1,086.7 080.0,14.191538461538462,1.0025870382319781,45.30769230769231,34.75481888742101,3.12,0.0,0.0,0.0,0.0,-121.733333,32.316666
1960,1,086.7 090.0,14.186923076923078,1.2369005929835581,46.61538461538461,36.44753869499389,23.84,5.96,0.0,0.0,0.0,-122.38333300000001,31.983333000000002
1960,1,090.0 028.0,12.169999999999998,1.9617374424482616,49.333333333333336,33.51719407782481,4.9,63.7,2.45,17.15,0.0,-117.775,33.475
1960,1,090.0 037.0,13.124594594594596,1.5772789413603614,48.2972972972973,32.08224228869095,15.149999999999999,163.62,3.03,3.03,0.0,-118.39166599999999,33.166666
1960,1,090.0 045.0,13.2853488372093,1.529734413359157,43.38775510204081,32.421582527776806,7.949999999999999,394.85,0.0,5.3,0.0,-118.941666,32.916666
1960,1,090.0 060.0,13.700810810810808,1.1144464953469009,44.08108108108108,32.80021881564747,0.0,32.34,0.0,0.0,0.0,-119.91666599999999,32.416666
1960,1,090.0 070.0,13.52888888888889,1.5318388161716487,49.97222222222222,32.86029833019181,2.68,2.68,0.0,0.0,0.0,-120.691666,32.066666
1960,1,090.0 080.0,13.59736842105263,1.1187533704265131,47.44736842105263,33.58144385320565,14.450000000000001,716.7199999999999,0.0,0.0,0.0,-121.35,31.7
1960,1,090.0 090.0,14.099736842105262,0.8717037893939727,46.39473684210526,33.51041747962275,5.54,58.17,0.0,0.0,0.0,-122.05,31.316665999999998
1960,1,090.0 100.0,14.80578947368421,1.643910353936033,46.26315789473684,33.44837426706313,5.74,5.74,0.0,0.0,0.0,-122.65,31.083333000000003
1960,1,093.3 035.0,13.386363636363631,1.160260830505449,48.81818181818182,32.84253392526275,213.12,941.7600000000001,8.64,74.88,2.88,-117.875,32.666666
1960,1,093.3 040.0,13.60294117647059,1.7068817113293437,43.98039215686274,31.545833446639783,0.0,73.36,0.0,0.0,0.0,-118.308333,32.5
1960,1,093.3 045.0,,,,,6.93,522.06,0.0,0.0,0.0,,
1960,1,093.3 050.0,13.637857142857145,1.6780331715062504,43.142857142857146,32.53553501882271,5.5,767.25,2.75,0.0,0.0,-118.85,32.275
1960,1,093.3 055.0,,,,,0.0,199.5,0.0,13.3,0.0,,
1960,1,093.3 060.0,14.666666666666664,1.0199440989153685,44.743589743589745,32.71706294622518,2.69,0.0,0.0,0.0,0.0,-119.616666,31.783333000000002
1960,1,093.3 070.0,14.579591836734693,1.1772707830395888,44.93877551020408,33.43987649702155,19.53,2.79,0.0,0.0,0.0,-120.20833300000001,31.566665999999998
1960,1,093.3 080.0,14.134199999999998,1.0474538419521924,43.8,32.2699076350632,18.16,2.27,0.0,0.0,0.0,-120.933333,31.208333000000003
1960,1,093.3 090.0,14.131891891891891,0.8247317336155018,44.13513513513514,32.75851217806022,0.0,0.0,0.0,0.0,0.0,-121.59166599999999,30.883333
1960,1,093.3 100.0,14.372619047619052,0.7381818783213232,43.76190476190476,33.35530054327456,4.92,7.38,0.0,0.0,0.0,-122.25833300000001,30.533333000000002
